,Name,Location,Company Size,Company Type
97,Foundation To Science Innovation And Development,Bangalore,"Company size
11-50 employees","Industry
KPO/Research"
98,Designcapital,Bhubaneswar,"Company size
11-50 employees","Industry
KPO/Research"
99,Eight Figure Research,Kolkata,"Company size
11-50 employees","Industry
KPO/Research"
100,MarketsGlob Market Research,Pune,"Company size
11-50 employees","Industry
KPO/Research"
101,Psoodlein Foods,Muzaffarpur,"Company size
11-50 employees","Industry
KPO/Research"
102,Poornaprajna Institute Of Scientific Research,Bangalore Rural,"Company size
11-50 employees","Industry
KPO/Research"
103,Race Auto India,Chennai,"Company size
11-50 employees","Industry
KPO/Research"
104,Invisia,Bangalore,"Company size
11-50 employees","Industry
KPO/Research"
105,Vihaas Design Technologies,Solan,"Company size
11-50 employees","Industry
KPO/Research"
106,Sama.com,Bangalore,"Company size
11-50 employees","Industry
KPO/Research"
107,Fortuco Resource Solutions Pvt.Ltd,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
108,Bariflo Cyberenetics Private Limited,Bhubaneswar,"Company size
11-50 employees","Industry
KPO/Research"
109,Infin8t,Bangarapet,"Company size
11-50 employees","Industry
KPO/Research"
110,MetaFin Consulting India Private Limited,Hyderabad,"Company size
11-50 employees","Industry
KPO/Research"
111,Optizen Services Private Limited,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
112,KLobTech,Jaipur,"Company size
11-50 employees","Industry
KPO/Research"
113,CVoter News Services Pvt Ltd,Noida,"Company size
11-50 employees","Industry
KPO/Research"
114,Kangaroo Accountants Private Limited,Vadodara,"Company size
11-50 employees","Industry
KPO/Research"
115,Pravasi Setu Foundation,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
116,CIRUS Group Of Companies,Gurgaon,"Company size
11-50 employees","Industry
KPO/Research"
117,PM Kishan Journal,Tirunelveli,"Company size
11-50 employees","Industry
KPO/Research"
118,Skillpal Outsourcing Pvt Ltd,Jaipur,"Company size
11-50 employees","Industry
KPO/Research"
119,PharmaLeap,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
120,Spin Info Solutions,Chennai,"Company size
11-50 employees","Industry
KPO/Research"
121,Krag Square Insights Center Pvt. Ltd.,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
122,Nebula-ARI,Noida,"Company size
11-50 employees","Industry
KPO/Research"
123,Arya Infolabs,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
124,Orient Healthcare Technology LLP,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
125,Finrope Solutions LLP,Vadodara,"Company size
11-50 employees","Industry
KPO/Research"
126,Venus Technologies,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
127,ThinkClock Innovation Labs,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
128,Offbit Marketing Services,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
129,Infocrest,Indore,"Company size
2-10 employees","Industry
KPO/Research"
130,Lines International,Jaipur,"Company size
2-10 employees","Industry
KPO/Research"
131,Prayfootwear,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
132,Ipp Services Training and Research Private Limited,Noida,"Company size
2-10 employees","Industry
KPO/Research"
133,KAS Business Consulting,Noida,"Company size
2-10 employees","Industry
KPO/Research"
134,Kirat Communications Private Limited,Safidon,"Company size
2-10 employees","Industry
KPO/Research"
135,Transverse Language Solutions,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
136,Adivasi Yuva Seva Sangh,Dahanu,"Company size
2-10 employees","Industry
KPO/Research"
137,MyMRPlace,Thane,"Company size
2-10 employees","Industry
KPO/Research"
138,Institute Of Perception Studies,Hyderabad,"Company size
2-10 employees","Industry
KPO/Research"
139,21DEGREES Advisory Services,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
140,P2L Impact Learning Empowers Private Limited,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
141,Singhal Sunil And Associates,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
142,Pi Research And Media,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
143,Udyam Ventures Private Limited,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
144,VakilSahabh,Bhilwara,"Company size
2-10 employees","Industry
KPO/Research"
145,Expersight,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
146,Daily Law Times,Rajsamand,"Company size
2-10 employees","Industry
KPO/Research"
147,BKSAY WORKS PRIVATE LIMITED,Hyderabad,"Company size
2-10 employees","Industry
KPO/Research"
148,PlagFree Content,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
149,PitchyDeck,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
150,BLOOMING RECALL LLP,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
151,Shingetsu Research & Consulting Private Limited,Noida,"Company size
2-10 employees","Industry
KPO/Research"
152,Hari Kiran A G,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
153,"Institute For Governance, Policies & Politics",Delhi,"Company size
2-10 employees","Industry
KPO/Research"
154,Operant Pharmacy Federation,Ahmedabad,"Company size
2-10 employees","Industry
KPO/Research"
155,Global Child Prodigy Awards,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
156,Intellect Bastion LLP,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
157,InfyU Labs,Gandhinagar,"Company size
2-10 employees","Industry
KPO/Research"
158,"RJS & CO, CA (Ramesh J Somani And Company)",Pune,"Company size
2-10 employees","Industry
KPO/Research"
159,Growth Market Intelligence Private Limited,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
160,Thot Thru Research,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
161,DevLens,Noida,"Company size
2-10 employees","Industry
KPO/Research"
162,Nanoinvent Technologies LLP,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
163,Policy Perspectives Foundation,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
164,INTROCORP CONSULTING PARTNERS LLP,Pune,"Company size
2-10 employees","Industry
KPO/Research"
165,Prosperspective HR Solutions,Pune,"Company size
2-10 employees","Industry
KPO/Research"
166,Act Five,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
167,RE-FAB FASHION PRIVATE LIMITED,Jaipur,"Company size
2-10 employees","Industry
KPO/Research"
168,Ashoka Global Solutions,Pune,"Company size
2-10 employees","Industry
KPO/Research"
169,Sensorama Technologies LLP,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
170,Sylvr,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
171,Universal Innovator,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
172,Equisights,Mumbai,"Company size
2-10 employees","Industry
KPO/Research"
173,KGAngel Consulting,Jaipur,"Company size
2-10 employees","Industry
KPO/Research"
174,Grabtech Infomatics Private Limited,Visakhapatnam,"Company size
2-10 employees","Industry
KPO/Research"
175,CHIRRAVURI RESEARCH FOUNDATION FOR HUMANAND GLOBAL REFORMS,Hyderabad,"Company size
2-10 employees","Industry
KPO/Research"
176,Surveykshan,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
177,Growthline Solutions LLP,Rewari,"Company size
2-10 employees","Industry
KPO/Research"
178,Illuminate By Tarun Bindlish,Gurgaon,"Company size
2-10 employees","Industry
KPO/Research"
179,Legal Eye Partners,Varanasi,"Company size
2-10 employees","Industry
KPO/Research"
180,Kendo,Delhi,"Company size
2-10 employees","Industry
KPO/Research"
181,Immunyfit Healthtech Private Limited,Bangalore,"Company size
2-10 employees","Industry
KPO/Research"
182,VRAJRAJ IP LLP,Vadodara,"Company size
2-10 employees","Industry
KPO/Research"
183,Stellanova Globaltech Private Limited,Udaipur,"Company size
2-10 employees","Industry
KPO/Research"
184,Confederation Of Sports & Recreation Industry,Kasaragod,"Company size
2-10 employees","Industry
KPO/Research"
